Blog	four	here	want	how	series	re	than	and	much	life	things	had	has	right	old	people	for	time	working	such	so	years	course	didn	internet	million	one	open	city	future	say	take	going	where	many	s	being	around	world	her	with	an	as	at	to	th	small	past	full	hours	social	via	more	company	its	always	found	really	number	also	set	see	available	last	d	be	by	anything	into	up	us	ago	having	video	let	great	makes	next	this	high	doing	put	start	system	best	should	email	ve	site	off	web	does	work	could	after	then	them	they	another	what	do	away	we	the	night	post	months	way	was	update	live	can	still	not	now	year	shows	that	online	only	between	these	real	read	using	t	your	lot	you	month	very	a	actually	since	pretty	during	x	probably	both	look	while	used	march	game	some	doesn	go	facebook	camera	control	him	times	data	need	she	i	well	page	twitter	even	new	ever	never	before	better	weeks	seen	don	m	said	three	is	it	in	if	make	just	yet	down	finally	me	did	may	nbsp	thing	think	first	little	were	show	black	get	enough	according	those	different	same	money	again	important	two	coming	through	good	house	idea	part	most	create	fun	source	big	bit	google	back	ll	day	announced	have	like	about	but	under	every	street	would	my	keep	end	over	each	got	free	days	top	too	took	though	pope	however	news	been	search	no	when	says	today	any	come	week	without	blog	on	of	or	there	all	version	rather	might	feel	story	check	his	hit	are	long	called	find	use	from	few	something	our	out	york	their	which	who	why	he	will	gets	other	know	because	getting	own	made	book
BuzzMachine	0	1	1	0	0	1	1	24	1	0	0	2	0	0	0	0	6	2	0	0	2	0	0	0	1	1	2	0	0	0	1	0	0	1	1	19	0	3	1	0	7	4	6	3	33	0	0	0	1	0	0	0	5	2	1	0	0	0	0	1	0	2	1	0	1	5	5	0	0	2	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	4	0	5	0	2	0	0	0	0	0	0	0	4	0	4	2	0	6	50	0	2	0	1	2	0	0	0	2	4	1	0	0	20	2	2	0	0	0	2	2	1	0	0	8	0	0	27	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	3	1	1	0	18	0	1	3	1	2	0	0	2	0	0	0	0	0	0	0	11	9	9	0	1	4	1	1	0	2	2	0	0	1	1	2	0	0	0	0	4	0	0	0	0	1	1	0	1	0	0	0	1	0	3	1	1	0	0	0	1	0	6	0	2	0	1	1	0	5	5	1	0	2	1	1	0	0	2	2	1	0	0	0	4	1	0	0	0	0	3	0	2	1	0	3	0	0	2	0	0	8	20	0	4	4	0	0	0	0	1	0	3	0	5	1	2	0	0	4	0	0	0	1	1	3	1	2	0	3	1	2	0	0	4	2	0	1	1
Joho the Blog	1	1	3	6	0	0	1	11	2	2	0	0	4	0	0	6	7	0	0	1	1	0	0	0	0	0	1	0	0	0	2	1	0	2	3	8	0	0	3	0	3	2	8	1	19	0	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	3	1	0	0	1	1	1	2	1	0	6	36	0	1	0	3	3	0	0	3	0	6	1	1	0	14	2	1	1	0	0	0	0	4	6	0	5	0	0	19	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	6	0	0	1	2	2	1	0	0	1	0	0	3	0	0	0	15	12	11	3	0	1	0	1	0	1	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	8	5	0	2	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	5	15	1	2	2	0	0	0	2	3	0	0	0	5	1	0	1	0	2	0	1	0	0	0	0	2	2	3	0	1	1	0	2	2	0	0	0	0
ongoing by Tim Bray	0	2	0	4	1	7	0	26	0	0	2	0	3	2	1	5	9	1	0	0	4	2	0	0	0	0	1	1	1	0	1	0	3	0	1	22	0	0	0	1	7	3	1	3	22	2	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	3	0	1	0	1	0	1	0	1	0	0	0	0	2	0	0	2	7	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	2	9	0	3	5	0	1	39	0	0	1	1	4	0	1	3	4	6	3	2	0	14	0	1	0	3	0	0	0	3	1	0	7	1	1	27	0	0	1	0	8	1	2	1	0	0	0	0	1	0	1	1	6	1	0	0	0	0	0	21	1	0	1	0	8	0	0	1	0	0	0	2	7	0	0	3	16	19	5	1	2	0	1	0	5	1	0	0	1	2	2	6	0	2	0	2	0	0	2	1	0	0	0	0	2	0	0	3	0	0	0	1	0	1	0	3	0	2	2	1	2	0	1	2	6	12	0	3	0	0	4	0	0	1	0	0	0	2	0	1	4	0	0	0	2	2	1	0	3	0	3	3	0	0	0	1	6	13	6	3	0	0	0	0	0	0	0	0	0	10	0	0	1	0	5	1	1	1	2	0	0	5	3	1	0	3	0	1	4	2	0	0	1	0
NewsBusters - Exposing Liberal Media Bias	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	0
Neil Gaiman's Journal	10	52	15	23	0	14	18	745	28	13	30	68	31	18	12	73	161	44	6	6	68	19	1	9	2	1	63	2	0	1	8	9	40	20	9	232	11	11	26	54	137	53	73	141	464	19	11	4	3	11	0	3	32	4	5	11	8	35	1	28	8	28	5	35	50	120	80	7	28	58	49	19	11	8	9	5	8	21	99	3	23	18	6	0	14	7	1	24	0	17	1	2	12	24	15	57	49	90	10	33	47	8	83	1003	19	9	4	18	163	1	2	45	9	61	45	27	3	152	3	15	7	4	4	35	5	68	11	14	138	7	31	417	17	4	4	3	10	14	14	11	14	3	4	2	42	4	42	2	2	0	46	7	0	5	46	599	15	6	17	19	35	13	7	13	4	9	5	16	48	32	21	154	292	302	54	28	39	6	11	3	98	28	13	704	10	14	32	8	40	11	2	37	5	0	5	9	5	5	13	3	17	10	13	23	18	8	7	9	1	13	0	8	19	1	39	42	40	1	76	74	88	51	5	4	3	33	120	16	41	42	16	40	13	21	2	30	11	4	0	3	2	31	0	27	56	1	14	11	16	12	5	21	184	421	52	71	63	4	2	5	10	29	0	45	1	64	17	13	6	10	89	15	17	17	73	13	23	44	49	7	98	78	5	29	14	22	14	9	22	36
Joel on Software	1	3	13	7	0	17	14	106	9	3	18	8	20	2	2	21	55	12	5	1	28	9	1	3	2	2	9	11	5	0	0	2	9	8	6	48	3	4	5	0	22	12	13	27	148	0	3	0	2	2	2	0	21	2	2	2	2	8	6	3	0	7	1	1	0	32	13	5	14	25	8	3	3	0	4	32	3	8	23	6	4	4	4	8	2	7	1	3	0	4	4	2	13	8	1	4	15	32	1	8	13	4	47	180	1	2	9	15	25	0	1	27	3	38	4	6	1	98	1	4	3	3	3	1	17	29	16	12	102	1	10	168	4	3	4	0	1	1	6	3	6	8	0	0	7	9	9	0	0	8	0	0	6	12	0	30	1	0	1	10	19	2	11	4	5	2	1	8	7	1	3	70	72	74	26	14	18	6	4	1	3	2	3	7	6	6	7	3	10	0	2	18	6	0	6	3	2	13	0	2	8	0	2	4	1	5	2	11	1	2	8	5	3	0	4	8	9	0	25	8	21	33	4	18	1	5	9	3	2	7	1	1	3	2	2	9	1	1	0	0	1	11	2	5	9	0	7	15	2	4	3	2	44	133	22	19	17	12	2	2	4	2	1	3	0	53	5	6	4	17	10	4	2	7	19	6	13	20	6	7	6	16	2	7	5	13	5	2	1	1
The Full Feed from HuffingtonPost.com	0	1	2	3	0	1	4	32	0	1	2	0	6	2	0	0	13	3	1	2	5	2	0	2	0	3	1	1	1	0	0	0	0	2	0	22	1	2	4	0	8	5	7	6	38	1	0	0	0	0	0	0	22	0	3	1	0	1	0	1	0	0	0	3	0	9	2	0	1	1	2	1	0	11	2	0	0	0	6	0	0	1	0	0	2	0	0	0	2	1	0	2	2	1	1	2	0	6	1	4	3	0	8	76	3	0	0	0	3	0	3	3	0	3	2	6	0	12	1	2	0	0	0	9	0	5	1	0	5	0	0	20	0	1	0	0	0	0	1	0	0	0	1	2	3	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	3	0	0	0	6	0	0	11	6	26	4	4	2	1	0	0	1	3	0	0	0	1	5	0	4	6	0	0	0	2	0	0	2	0	1	0	2	0	1	1	2	1	0	4	0	0	0	2	0	0	0	3	4	2	5	0	2	1	0	0	1	1	0	0	0	4	1	0	0	1	2	1	0	2	4	0	1	0	0	0	2	0	2	0	1	4	1	0	21	30	3	4	3	1	0	0	0	0	1	8	0	6	0	0	0	1	3	1	0	1	6	1	3	0	3	0	2	7	0	1	2	1	0	0	0	0
Pharyngula	0	5	0	0	0	1	1	10	1	1	1	0	1	0	1	0	10	1	0	1	3	0	0	0	0	0	3	0	0	0	0	0	1	2	0	23	0	0	4	0	0	0	2	3	10	0	0	0	1	0	0	1	0	0	0	1	0	0	0	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	0	0	4	17	0	0	0	0	1	0	0	2	1	2	1	2	0	7	0	2	0	0	0	0	0	0	0	1	7	0	1	16	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	4	5	2	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	6	2	0	1	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	5	0	0	0	0	20	1	22	0	0	0	0	1	0	0	0	0	1	0	7	1	0	0	0	4	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	1
Online Marketing Report	0	0	3	0	0	0	0	6	0	0	0	0	1	0	1	1	3	1	2	0	4	0	1	0	1	0	3	0	0	0	1	0	0	0	0	5	0	0	0	0	3	3	7	1	13	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	0	0	0	0	0	0	0	3	0	5	0	0	1	5	0	1	0	0	0	0	0	1	1	0	10	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	2	0	1	0	0	0	0	0	4	0	0	7	32	2	1	0	5	1	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	2	5	1	0	1	0	2	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	8	3	3	0	0	0	0	0	0	17	0	0	0	0	1	0	0	24	0	0	0	23	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0
Daily Kos	5	18	13	34	2	40	41	392	20	5	12	29	63	14	7	42	179	34	3	5	41	15	6	9	2	8	43	7	7	4	18	10	16	12	8	266	13	6	5	17	95	61	84	75	503	5	6	6	6	4	18	18	67	3	25	8	3	11	5	14	2	19	2	16	14	110	48	5	14	38	10	8	6	5	7	5	4	12	81	6	10	7	2	1	1	14	2	16	1	10	5	10	17	14	14	7	33	101	7	61	28	4	73	981	4	8	10	13	60	2	8	41	21	86	38	21	6	289	1	27	4	19	7	2	4	96	17	4	80	2	16	388	14	13	8	5	2	4	12	9	25	7	4	3	25	6	20	0	2	9	12	2	6	15	9	62	18	2	9	23	30	8	7	13	9	2	4	21	14	48	7	199	166	309	54	25	53	6	17	5	8	17	17	7	20	18	14	4	29	13	5	24	15	13	20	5	8	5	11	5	15	6	4	15	31	5	7	20	6	3	9	17	3	0	13	9	16	8	81	36	49	68	5	8	1	56	13	9	7	26	5	8	2	3	8	11	3	8	4	6	16	29	1	26	30	12	15	22	10	9	11	0	148	422	59	41	49	2	11	10	2	5	7	55	5	86	11	9	6	7	64	5	10	18	51	2	59	28	62	22	76	54	1	24	14	38	6	14	13	4
Kotaku	0	2	1	3	2	3	1	29	1	3	2	1	5	1	2	3	6	3	0	1	1	2	0	0	0	5	8	0	2	0	1	2	2	0	0	29	3	0	1	0	7	5	7	2	30	0	0	1	1	0	0	0	31	1	1	1	0	2	1	1	1	2	0	1	2	12	2	0	1	2	4	2	0	3	0	1	1	2	16	2	0	0	0	1	0	2	0	2	0	0	0	1	1	1	0	1	1	8	1	3	2	0	4	61	0	0	0	1	3	1	2	9	2	3	2	0	0	16	1	4	4	2	3	0	1	5	2	2	16	1	1	32	1	0	3	0	0	0	0	0	2	0	0	12	4	0	0	2	0	0	0	1	0	1	0	10	1	0	1	0	5	0	1	0	0	1	0	1	0	0	0	17	15	18	3	5	1	0	0	0	1	0	1	0	0	1	6	2	1	3	0	1	1	1	4	1	1	0	0	0	1	1	3	0	1	0	0	2	0	2	0	0	0	0	1	0	0	0	4	4	9	10	0	1	0	2	1	0	0	1	2	0	3	2	0	2	0	0	0	0	0	2	0	1	0	0	2	0	0	2	0	0	10	39	4	5	3	1	0	5	0	0	1	1	2	8	0	0	0	0	4	2	1	0	2	2	2	1	1	2	2	3	0	1	3	0	0	1	4	0
